year,month,subscribers
2015,January,54.48
2015,February,54.48
2015,March,59.62
2015,April,59.62
2015,May,59.62
2015,June,62.08
2015,July,62.08
2015,August,62.08
2015,September,66.02
2015,October,66.02
2015,November,66.02
2015,December,70.84
2016,January,70.84
2016,February,70.84
2016,March,77.71
2016,April,77.71
2016,May,77.71
2016,June,79.9
2016,July,79.9
2016,August,79.9
2016,September,83.28
2016,October,83.28
2016,November,83.28
2016,December,89.09
2017,January,89.09
2017,February,89.09
2017,March,94.36
2017,April,94.36
2017,May,94.36
2017,June,99.04
2017,July,99.04
2017,August,99.04
2017,September,104.2
2017,October,104.2
2017,November,104.2
2017,December,110.64
2018,January,110.64
2018,February,110.64
2018,March,118.9
2018,April,118.9
2018,May,118.9
2018,June,124.35
2018,July,124.35
2018,August,124.35
2018,September,130.42
2018,October,130.42
2018,November,130.42
2018,December,139.26
2019,January,139.26
2019,February,139.26
2019,March,148.86
2019,April,148.86
2019,May,148.86
2019,June,151.56
2019,July,151.56
2019,August,151.56
2019,September,158.33
2019,October,158.33
2019,November,158.33
2019,December,167.09